Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/2202/20240507-sign-171-search-narrative.pdf,Asian,"[6, 13]"
https://www.sign.ac.uk/media/2202/20240507-sign-171-search-narrative.pdf,Chinese,[6]
https://www.sign.ac.uk/media/2010/sign135_oct2022.pdf,Asian,[61]
https://www.sign.ac.uk/media/2010/sign135_oct2022.pdf,Black,[59]
https://www.sign.ac.uk/media/1071/sign133.pdf,White,[57]
https://www.sign.ac.uk/media/1071/sign133.pdf,Asian,"[34, 54]"
https://www.sign.ac.uk/media/1071/sign133.pdf,Indian,"[54, 59]"
https://www.sign.ac.uk/media/1071/sign133.pdf,Pakistani,[54]
https://www.sign.ac.uk/media/1071/sign133.pdf,Bangladeshi,[54]
https://www.sign.ac.uk/media/1071/sign133.pdf,African,"[24, 34, 59]"
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,White,"[16, 94, 133, 139]"
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,Asian,"[14, 52, 53, 58, 60, 90, 139]"
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,Bangladeshi,[14]
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,Chinese,[14]
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,Black,"[14, 114, 132, 135, 136, 137, 138, 139, 141]"
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,African,[53]
https://www.sign.ac.uk/media/1812/sign-142-osteoporosis-v3.pdf,Caribbean,"[14, 53]"
https://www.sign.ac.uk/media/1518/sign142_3_year_scoping_report.pdf,White,[42]
https://www.sign.ac.uk/media/1518/sign142_3_year_scoping_report.pdf,Black,"[8, 96]"
https://www.sign.ac.uk/media/1069/sign131.pdf,White,[67]
https://www.sign.ac.uk/media/1069/sign131.pdf,Chinese,[69]
https://www.sign.ac.uk/media/1069/sign131.pdf,Black,"[57, 65]"
https://www.sign.ac.uk/media/1088/sign151.pdf,White,[74]
https://www.sign.ac.uk/media/1976/20220223-stable-angina-scope-final.pdf,White,"[4, 30]"
https://www.sign.ac.uk/media/1767/20200728-uti-consultation-report-final.pdf,White,[14]
https://www.sign.ac.uk/media/1799/evidence-review-9-patient-experience.pdf,White,"[8, 9, 14]"
https://www.sign.ac.uk/media/1984/implementation-support-note-managing-the-long-term-effects-of-covid-19-version-22-300622.pdf,Asian,[8]
https://www.sign.ac.uk/media/1984/implementation-support-note-managing-the-long-term-effects-of-covid-19-version-22-300622.pdf,Black,[8]
https://www.sign.ac.uk/media/2176/20230206-kq2-voting-report.pdf,White,[5]
https://www.sign.ac.uk/media/2172/sign-169-perinatal.pdf,White,[16]
https://www.sign.ac.uk/media/2172/sign-169-perinatal.pdf,Black,"[7, 16]"
